Episode,Cumulative_Reward
0,-144
1,-515
2,-380
3,-293
4,-733
5,-110
6,-178
7,-218
8,-370
9,-167
10,-418
11,-476
12,-624
13,-253
14,-304
15,-110
16,-63
17,-36
18,-174
19,-52
20,-61
21,-169
22,-54
23,-70
24,-84
25,-110
26,-39
27,-101
28,-65
29,-165
30,-66
31,-53
32,-91
33,-42
34,-65
35,-41
36,-128
37,-129
38,-93
39,-90
40,-42
41,-90
42,-74
43,-109
44,-121
45,-59
46,-104
47,-112
48,-100
49,-64
50,-196
51,-58
52,-108
53,-38
54,-53
55,-118
56,-126
57,-25
58,-84
59,-64
60,-67
61,-90
62,-84
63,-131
64,-75
65,-100
66,-135
67,-118
68,-63
69,-52
70,-79
71,-65
72,-40
73,-71
74,-78
75,-57
76,-75
77,-29
78,-24
79,-65
80,-75
81,-53
82,-172
83,-62
84,-70
85,-56
86,-30
87,-25
88,-87
89,-43
90,-38
91,-79
92,-45
93,-150
94,-73
95,-33
96,-151
97,-29
98,-48
99,-47
100,-63
101,-121
102,-83
103,-116
104,-28
105,-31
106,-49
107,-60
108,-45
109,-21
110,-43
111,-63
112,-43
113,-18
114,-57
115,-17
116,-35
117,-57
118,-46
119,-53
120,-55
121,-31
122,-26
123,-34
124,-153
125,-123
126,-46
127,-40
128,-54
129,-40
130,-35
131,-36
132,-37
133,-43
134,-23
135,-56
136,-104
137,-17
138,-36
139,-37
140,-44
141,-125
142,-32
143,-67
144,-18
145,-24
146,-34
147,-42
148,-27
149,-34
150,-108
151,-32
152,-37
153,-25
154,-37
155,-20
156,-56
157,-40
158,-22
159,-21
160,-29
161,-38
162,-20
163,-26
164,-49
165,-110
166,-48
167,-107
168,-45
169,-22
170,-33
171,-29
172,-18
173,-42
174,-24
175,-107
176,-30
177,-22
178,-42
179,-103
180,-121
181,-28
182,-22
183,-50
184,-110
185,-25
186,-30
187,-31
188,-27
189,-18
190,-110
191,-25
192,-28
193,-25
194,-28
195,-25
196,-30
197,-26
198,-30
199,-25
200,-15
201,-23
202,-109
203,-29
204,-19
205,-31
206,-22
207,-126
208,-20
209,-19
210,-22
211,-120
212,-34
213,-19
214,-16
215,-33
216,-16
217,-26
218,-18
219,-20
220,-20
221,-30
222,-28
223,-26
224,-12
225,-28
226,-30
227,-21
228,-28
229,-21
230,-19
231,-29
232,-12
233,-50
234,-15
235,-11
236,-28
237,-125
238,-20
239,-13
240,-11
241,-26
242,-31
243,-16
244,-16
245,-126
246,-21
247,-32
248,-102
249,-29
250,-17
251,-22
252,-111
253,-14
254,-17
255,-21
256,-24
257,-26
258,-15
259,-20
260,-23
261,-18
262,-15
263,-20
264,-17
265,-11
266,-14
267,-32
268,-25
269,-103
270,-14
271,-20
272,-17
273,-26
274,-22
275,-15
276,-20
277,-12
278,-18
279,-11
280,-21
281,-22
282,-18
283,-12
284,-16
285,-15
286,-25
287,-13
288,-13
