Episode,Cumulative_Reward
0,-110
1,-624
2,-176
3,-129
4,-198
5,-180
6,-135
7,-393
8,-204
9,-503
10,-486
11,-345
12,-450
13,-104
14,-490
15,-589
16,-266
17,-187
18,-334
19,-164
20,-435
21,-145
22,-352
23,-413
24,-104
25,-372
26,-262
27,-85
28,-230
29,-139
30,-74
31,-125
32,-115
33,-69
34,-142
35,-213
36,-63
37,-50
38,-116
39,-100
40,-102
41,-61
42,-107
43,-104
44,-102
45,-52
46,-116
47,-104
48,-71
49,-101
50,-68
51,-106
52,-71
53,-89
54,-21
55,-146
56,-74
57,-99
58,-102
59,-164
60,-39
61,-37
62,-89
63,-72
64,-148
65,-38
66,-56
67,-52
68,-77
69,-81
70,-25
71,-55
72,-43
73,-83
74,-50
75,-84
76,-108
77,-104
78,-64
79,-117
80,-62
81,-101
82,-111
83,-65
84,-101
85,-53
86,-52
87,-30
88,-67
89,-53
90,-37
91,-59
92,-55
93,-46
94,-23
95,-158
96,-62
97,-40
98,-55
99,-23
100,-137
101,-44
102,-59
103,-33
104,-74
105,-25
106,-36
107,-41
108,-40
109,-46
110,-57
111,-105
112,-34
113,-102
114,-52
115,-30
116,-22
117,-39
118,-51
119,-38
120,-34
121,-25
122,-63
123,-43
124,-44
125,-22
126,-39
127,-147
128,-20
129,-23
130,-43
131,-36
132,-105
133,-31
134,-41
135,-45
136,-23
137,-45
138,-48
139,-19
140,-42
141,-29
142,-27
143,-34
144,-40
145,-127
146,-19
147,-50
148,-109
149,-22
150,-36
151,-19
152,-31
153,-32
154,-28
155,-28
156,-122
157,-28
158,-25
159,-26
160,-60
161,-34
162,-28
163,-14
164,-33
165,-32
166,-29
167,-38
168,-14
169,-24
170,-22
171,-24
172,-27
173,-39
174,-21
175,-34
176,-13
177,-43
178,-44
179,-29
180,-13
181,-18
182,-26
183,-23
184,-41
185,-29
186,-116
187,-14
188,-31
189,-20
190,-12
191,-32
192,-32
193,-21
194,-21
195,-22
196,-42
197,-11
198,-24
199,-29
200,-30
201,-22
202,-111
203,-103
204,-19
205,-112
206,-29
207,-17
208,-44
209,-28
210,-21
211,-18
212,-30
213,-19
214,-119
215,-13
216,-36
217,-29
218,-11
219,-22
220,-103
221,-11
222,-15
223,-22
224,-26
225,-18
226,-23
227,-114
228,-27
229,-13
230,-26
231,-20
232,-32
233,-19
234,-18
235,-15
236,-15
237,-25
238,-106
239,-24
240,-26
241,-15
242,-34
243,-15
244,-28
245,-108
246,-28
247,-26
248,-19
249,-17
250,-21
251,-13
252,-27
253,-115
254,-15
255,-28
256,-16
257,-27
258,-15
259,-17
260,-15
261,-108
262,-16
263,-13
264,-19
265,-12
266,-17
267,-31
268,-16
269,-23
270,-15
271,-15
272,-22
273,-13
274,-13
275,-26
276,-11
277,-13
278,-23
279,-118
280,-100
281,-26
282,-114
283,-11
284,-19
285,-11
286,-15
287,-117
288,-11
289,-23
290,-21
291,-14
292,-111
293,-11
294,-28
295,-11
296,-19
297,-14
298,-14
299,-105
300,-11
301,-15
302,-19
303,-104
304,-15
305,-100
306,-17
307,-111
308,-14
309,-13
310,-11
311,-11
312,-29
313,-11
314,-15
315,-14
316,-20
317,-11
318,-103
319,-11
320,-14
321,-11
322,-24
323,-19
324,-27
325,-11
326,-18
327,-11
328,-15
329,-12
330,-13
331,-11
332,-11
333,-12
334,-16
335,-104
336,-13
337,-15
338,-11
339,-16
340,-15
341,-11
342,-11
343,-11
344,-16
345,-16
346,-19
347,-13
348,-11
349,-11
350,-17
351,-11
352,-11
353,-17
354,-12
355,-11
356,-11
357,-107
358,-11
359,-12
360,-22
361,-12
362,-110
363,-19
364,-13
365,-13
366,-11
367,-11
368,-13
369,-13
370,-11
371,-15
372,-15
373,-11
374,-11
375,-11
376,-11
377,-11
378,-11
379,-11
380,-11
381,-11
382,-15
383,-11
384,-104
385,-11
386,-11
387,-13
388,-11
389,-11
390,-11
391,-100
392,-11
393,-11
394,-11
395,-11
396,-102
397,-11
398,-11
399,-11
400,-11
401,-13
402,-11
403,-21
404,-13
405,-102
406,-13
407,-32
408,-11
409,-110
410,-11
411,-11
412,-17
413,-11
414,-11
415,-113
416,-100
417,-11
418,-11
419,-104
420,-12
421,-11
422,-11
423,-12
424,-11
425,-13
426,-11
427,-105
428,-11
429,-12
430,-11
431,-11
432,-13
433,-11
434,-13
435,-13
436,-11
437,-13
438,-11
439,-11
440,-111
441,-11
442,-11
443,-11
444,-11
445,-11
446,-13
447,-11
448,-11
449,-11
450,-11
451,-13
452,-13
453,-11
454,-11
455,-13
456,-11
457,-11
458,-11
459,-11
460,-11
461,-11
462,-11
463,-11
464,-11
465,-105
466,-11
467,-11
468,-13
469,-11
470,-11
471,-11
472,-11
473,-11
474,-11
475,-11
476,-13
477,-106
478,-11
479,-15
480,-13
481,-11
482,-11
483,-12
