Episode,Cumulative_Reward
0,-109
1,-161
2,-146
3,-182
4,-201
5,-278
6,-199
7,-626
8,-231
9,-154
10,-575
11,-546
12,-364
13,-101
14,-156
15,-173
16,-139
17,-161
18,-237
19,-225
20,-190
21,-100
22,-95
23,-82
24,-242
25,-104
26,-145
27,-181
28,-184
29,-127
30,-171
31,-47
32,-126
33,-140
34,-100
35,-110
36,-62
37,-85
38,-85
39,-53
40,-58
41,-54
42,-105
43,-96
44,-137
45,-110
46,-37
47,-174
48,-105
49,-73
50,-179
51,-214
52,-216
53,-75
54,-143
55,-107
56,-23
57,-125
58,-263
59,-119
60,-74
61,-149
62,-59
63,-67
64,-85
65,-134
66,-59
67,-73
68,-87
69,-65
70,-102
71,-53
72,-102
73,-99
74,-59
75,-63
76,-108
77,-72
78,-81
79,-105
80,-66
81,-68
82,-68
83,-118
84,-60
85,-166
86,-61
87,-50
88,-49
89,-97
90,-43
91,-99
92,-39
93,-72
94,-150
95,-52
96,-102
97,-37
98,-37
99,-114
100,-31
101,-61
102,-110
103,-59
104,-69
105,-53
106,-51
107,-19
108,-148
109,-59
110,-75
111,-44
112,-29
113,-81
114,-51
115,-54
116,-78
117,-33
118,-121
119,-139
120,-52
121,-49
122,-63
123,-43
124,-38
125,-39
126,-35
127,-55
128,-23
129,-49
130,-61
131,-47
132,-51
133,-21
134,-39
135,-41
136,-53
137,-35
138,-35
139,-31
140,-41
141,-42
142,-23
143,-63
144,-56
145,-122
146,-29
147,-46
148,-45
149,-21
150,-67
151,-21
152,-132
153,-53
154,-42
155,-51
156,-29
157,-100
158,-27
159,-23
160,-67
161,-19
162,-29
163,-165
164,-19
165,-27
166,-27
167,-29
168,-133
169,-43
170,-19
171,-113
172,-25
173,-47
174,-43
175,-17
176,-41
177,-21
178,-25
179,-100
180,-17
181,-35
182,-43
183,-111
184,-27
185,-29
186,-35
187,-19
188,-100
189,-23
190,-31
191,-25
192,-27
193,-23
194,-106
195,-25
196,-25
197,-44
198,-25
199,-31
200,-110
201,-37
202,-33
203,-23
204,-37
205,-21
206,-23
207,-28
208,-25
209,-22
210,-127
211,-104
212,-29
213,-34
214,-15
215,-33
216,-32
217,-23
218,-23
219,-26
220,-31
221,-31
222,-37
223,-23
224,-13
225,-28
226,-109
227,-25
228,-26
229,-29
230,-23
231,-17
232,-32
233,-27
234,-107
235,-27
236,-34
237,-17
238,-24
239,-31
240,-28
241,-36
242,-21
243,-16
244,-33
245,-35
246,-19
247,-21
248,-23
249,-25
250,-107
251,-25
252,-118
253,-29
254,-23
255,-27
256,-29
257,-27
258,-23
259,-29
260,-23
261,-25
262,-23
263,-19
264,-26
265,-21
266,-38
267,-33
268,-21
269,-23
270,-29
271,-27
272,-23
273,-13
274,-27
275,-23
276,-35
277,-100
278,-15
279,-19
280,-32
281,-22
282,-22
283,-22
284,-15
285,-23
286,-23
287,-22
288,-15
289,-22
290,-21
291,-21
292,-15
293,-19
294,-29
295,-18
296,-27
297,-25
298,-18
299,-17
300,-21
301,-26
302,-17
303,-16
304,-15
305,-17
306,-21
307,-21
308,-23
309,-22
310,-20
311,-21
312,-17
313,-17
314,-19
315,-21
316,-19
317,-17
318,-17
319,-17
320,-15
321,-17
322,-17
323,-21
324,-23
325,-17
326,-23
327,-15
328,-16
329,-21
330,-13
331,-29
332,-13
333,-17
334,-23
335,-15
336,-15
337,-15
338,-21
339,-13
340,-25
341,-15
342,-25
343,-15
344,-14
345,-19
346,-13
347,-16
348,-15
349,-13
350,-15
351,-13
352,-23
353,-17
354,-18
355,-17
356,-17
357,-18
358,-13
359,-15
360,-15
361,-19
362,-15
363,-23
364,-17
365,-23
366,-15
367,-15
368,-21
369,-21
370,-17
371,-13
372,-13
373,-37
374,-15
375,-20
376,-19
377,-13
378,-19
379,-15
380,-13
381,-13
382,-13
383,-15
384,-19
385,-15
386,-19
387,-19
388,-15
389,-13
390,-13
391,-114
392,-18
393,-13
394,-13
395,-17
396,-16
397,-21
398,-21
399,-21
400,-15
401,-15
402,-19
403,-13
404,-15
405,-13
406,-17
407,-100
408,-19
409,-19
410,-15
411,-19
412,-15
413,-13
414,-15
415,-15
416,-15
417,-21
418,-21
419,-19
420,-13
421,-19
422,-13
423,-17
424,-15
425,-13
426,-15
427,-15
428,-17
429,-17
430,-15
431,-13
432,-15
433,-16
434,-17
435,-17
436,-18
437,-13
438,-13
439,-13
440,-19
441,-13
442,-18
443,-13
444,-15
445,-21
446,-13
447,-22
448,-13
449,-15
450,-17
451,-13
452,-15
453,-13
454,-13
455,-17
456,-13
457,-15
458,-15
459,-17
460,-13
461,-19
462,-13
463,-19
464,-13
465,-13
466,-13
467,-13
468,-13
469,-16
470,-15
471,-15
472,-15
473,-17
474,-13
475,-13
476,-21
477,-13
478,-15
479,-13
480,-15
481,-13
482,-15
483,-15
484,-18
485,-13
486,-15
487,-13
488,-13
489,-13
490,-13
491,-15
492,-15
493,-13
494,-14
495,-15
496,-13
497,-15
498,-13
499,-13
500,-15
501,-15
502,-13
503,-18
504,-15
505,-16
506,-13
507,-15
508,-13
509,-13
510,-13
511,-13
512,-15
513,-19
514,-13
515,-13
516,-13
517,-15
518,-15
519,-16
520,-17
521,-13
522,-13
523,-13
524,-13
525,-16
526,-15
527,-15
528,-13
529,-104
530,-102
531,-15
532,-13
533,-18
534,-15
535,-13
536,-13
537,-18
538,-13
539,-13
540,-15
541,-18
542,-13
543,-13
544,-15
545,-13
546,-15
547,-15
548,-15
549,-13
550,-13
551,-15
552,-13
553,-13
554,-100
555,-13
556,-13
557,-13
558,-15
559,-13
560,-17
561,-17
562,-13
563,-14
564,-19
565,-13
566,-15
567,-13
568,-13
569,-13
570,-13
571,-15
572,-17
573,-13
574,-15
575,-13
576,-13
577,-13
578,-13
579,-15
580,-16
581,-15
582,-13
583,-13
584,-13
585,-13
586,-16
587,-13
588,-15
589,-15
590,-13
591,-13
592,-15
593,-13
594,-15
595,-13
596,-13
597,-13
598,-13
599,-21
600,-17
601,-13
602,-13
603,-15
604,-17
605,-19
606,-13
607,-13
608,-13
609,-13
610,-13
611,-13
612,-13
613,-13
614,-15
615,-14
616,-13
617,-15
618,-13
619,-15
620,-13
621,-13
622,-16
623,-16
624,-13
625,-17
626,-15
627,-13
628,-15
629,-15
630,-13
631,-15
632,-13
633,-13
634,-13
635,-18
636,-17
637,-15
638,-15
639,-15
640,-13
641,-13
642,-19
643,-13
644,-13
645,-13
646,-13
647,-13
648,-15
649,-13
650,-18
651,-15
652,-13
653,-14
654,-15
655,-13
656,-21
657,-13
658,-17
659,-13
660,-13
661,-13
662,-15
663,-15
664,-13
665,-13
666,-15
667,-100
668,-15
669,-15
670,-13
671,-15
672,-13
673,-13
674,-13
675,-15
676,-13
677,-13
678,-17
679,-13
680,-13
681,-17
682,-13
683,-13
684,-13
685,-13
686,-100
687,-13
688,-13
689,-16
690,-13
691,-13
692,-13
693,-13
694,-13
695,-17
696,-13
697,-13
698,-26
699,-13
700,-13
701,-15
702,-13
703,-13
704,-13
705,-15
706,-13
707,-13
708,-13
709,-13
710,-13
711,-15
712,-13
713,-13
714,-13
715,-15
716,-15
717,-13
718,-13
719,-13
720,-15
721,-13
722,-13
723,-13
724,-13
725,-15
726,-13
727,-13
728,-13
729,-15
730,-15
731,-15
732,-15
733,-13
734,-18
735,-19
736,-13
737,-13
738,-13
739,-17
740,-17
741,-15
742,-13
743,-13
744,-13
745,-15
746,-13
747,-13
748,-17
749,-13
750,-15
751,-15
752,-13
753,-13
754,-15
755,-13
756,-13
757,-13
758,-15
759,-15
760,-15
761,-15
762,-100
763,-15
764,-15
765,-16
766,-13
767,-13
768,-15
769,-13
770,-15
771,-13
772,-13
773,-13
774,-15
775,-17
776,-14
777,-13
778,-13
779,-15
780,-16
781,-13
782,-13
783,-17
784,-13
785,-15
786,-13
787,-13
788,-13
789,-15
790,-13
791,-15
792,-13
793,-13
794,-13
795,-17
796,-13
797,-17
798,-13
799,-13
800,-13
801,-13
802,-13
803,-13
804,-13
805,-13
806,-13
807,-17
808,-14
809,-13
810,-13
811,-15
812,-13
813,-15
814,-13
815,-13
816,-16
817,-13
818,-13
819,-13
820,-13
821,-13
822,-13
823,-13
824,-13
825,-14
826,-17
827,-13
828,-15
829,-16
830,-13
831,-13
832,-15
833,-14
834,-17
835,-13
836,-13
837,-13
838,-15
839,-15
840,-13
841,-13
842,-13
843,-13
844,-13
845,-13
846,-13
847,-13
848,-13
849,-13
850,-13
851,-13
852,-13
853,-13
854,-15
855,-13
856,-13
857,-13
858,-13
859,-15
860,-16
861,-15
862,-13
863,-15
864,-17
865,-14
866,-13
867,-108
868,-13
869,-17
870,-13
871,-13
872,-13
873,-13
874,-13
875,-14
876,-15
877,-19
878,-13
879,-112
880,-16
881,-15
882,-13
883,-13
884,-13
885,-13
886,-15
887,-13
888,-19
889,-13
890,-15
891,-13
892,-13
893,-13
894,-17
895,-13
896,-13
897,-13
898,-13
899,-15
900,-13
901,-16
902,-15
903,-13
904,-15
905,-13
906,-18
907,-13
908,-15
909,-14
910,-14
911,-13
912,-15
913,-13
914,-15
915,-13
916,-13
917,-13
918,-13
919,-13
920,-15
921,-13
922,-13
923,-13
924,-13
925,-13
926,-13
927,-15
928,-15
929,-112
930,-13
931,-13
932,-19
933,-17
934,-14
935,-13
936,-13
937,-13
938,-14
939,-17
940,-13
941,-13
942,-13
943,-13
944,-13
945,-13
946,-15
947,-13
948,-13
949,-13
950,-21
951,-13
952,-13
953,-15
954,-13
955,-19
956,-13
957,-13
958,-13
959,-15
960,-15
961,-13
962,-13
963,-15
964,-14
965,-13
966,-13
967,-13
968,-13
969,-13
970,-17
971,-15
972,-17
973,-15
974,-13
975,-21
976,-13
977,-13
978,-15
979,-14
980,-13
981,-13
982,-13
983,-13
984,-13
985,-13
986,-15
987,-13
988,-15
989,-13
990,-17
991,-15
992,-21
993,-17
994,-13
995,-13
996,-15
997,-13
998,-15
999,-13
1000,-13
1001,-13
1002,-15
1003,-21
1004,-17
1005,-13
1006,-13
1007,-14
1008,-13
1009,-13
1010,-13
1011,-17
1012,-13
1013,-13
1014,-15
1015,-13
1016,-13
1017,-15
1018,-13
1019,-13
1020,-13
1021,-13
1022,-15
1023,-15
1024,-15
1025,-15
1026,-15
1027,-17
1028,-13
1029,-13
1030,-13
1031,-13
1032,-15
1033,-18
1034,-15
1035,-13
1036,-17
1037,-15
1038,-15
1039,-13
1040,-13
1041,-15
1042,-13
1043,-14
1044,-13
1045,-15
1046,-17
1047,-13
1048,-15
1049,-18
1050,-13
1051,-13
1052,-13
1053,-13
1054,-13
1055,-15
1056,-13
1057,-13
1058,-15
1059,-13
1060,-13
1061,-13
1062,-15
1063,-17
1064,-13
1065,-13
1066,-13
1067,-13
1068,-13
1069,-15
1070,-13
1071,-15
1072,-17
1073,-13
1074,-13
1075,-15
1076,-13
1077,-13
1078,-15
1079,-15
1080,-13
1081,-13
1082,-17
1083,-13
1084,-14
1085,-13
1086,-13
1087,-13
1088,-13
1089,-13
1090,-13
1091,-17
1092,-13
1093,-15
1094,-16
1095,-13
1096,-15
1097,-13
1098,-13
1099,-15
1100,-15
1101,-13
1102,-13
1103,-13
1104,-17
1105,-13
1106,-15
1107,-13
1108,-16
1109,-15
1110,-13
1111,-13
1112,-13
1113,-13
1114,-16
1115,-16
1116,-15
1117,-13
1118,-13
1119,-15
1120,-22
1121,-13
1122,-13
1123,-15
1124,-13
1125,-15
1126,-13
1127,-13
1128,-15
1129,-15
1130,-15
1131,-15
1132,-13
1133,-13
1134,-15
1135,-15
1136,-13
1137,-17
1138,-14
1139,-13
1140,-16
1141,-13
1142,-16
1143,-15
1144,-13
1145,-17
1146,-16
1147,-15
1148,-13
1149,-13
1150,-15
1151,-13
1152,-13
1153,-13
1154,-15
1155,-13
1156,-15
1157,-15
1158,-17
1159,-13
1160,-13
1161,-17
1162,-17
1163,-13
1164,-19
1165,-14
1166,-13
1167,-15
1168,-15
1169,-13
1170,-13
1171,-13
1172,-15
1173,-17
1174,-15
1175,-15
1176,-15
1177,-15
1178,-19
1179,-13
1180,-15
1181,-17
1182,-13
1183,-100
1184,-13
1185,-18
1186,-19
1187,-13
1188,-13
1189,-16
1190,-13
1191,-15
1192,-15
1193,-13
1194,-15
1195,-17
1196,-13
